step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isMerchant_Dest,exact_drain_suspicious,money_vanished,transfer_and_vanished,discrepancy_orig_reliable,discrepancy_dest_reliable,amount_risk_tier,iso_risk_score,iso_prediction,risk_tier
1,0,227768.63,1011466.31,783697.68,530123.48,1412484.09,0,0,0,0,0,0.0,0.0,0,69.55170393075356,1,Approve
1,0,172986.7,783697.68,610710.98,686295.71,1517262.16,0,0,0,0,0,0.0,0.0,0,61.05371556542315,1,Approve
1,1,1277212.77,1277212.77,0.0,0.0,0.0,1,0,1,1,1,0.0,1277212.77,2,86.69372881401307,1,Flag
1,0,1277212.77,1277212.77,0.0,0.0,2444985.19,1,0,0,0,0,0.0,-1167772.42,2,72.85057319362795,1,Flag
1,0,334262.17,1906232.33,1571970.16,1288904.4,971418.91,0,0,0,0,0,0.0,0.0,0,77.15914287490463,1,Flag
1,0,139754.72,6000879.7,5861124.98,2474475.78,2719172.89,0,0,0,0,0,0.0,0.0,0,81.00756659991433,1,Flag
1,1,81222.77,180207.0,98984.23,3243462.05,3461666.05,0,0,0,0,0,0.0,0.0,0,58.526370070786264,1,Approve
1,0,265803.38,2634964.27,2369160.89,20480.0,141110.62,0,0,0,0,0,0.0,0.0,0,75.67308675014789,1,Flag
1,1,42136.28,5334735.48,5292599.2,46303.0,57472.15,0,0,0,0,0,0.0,0.0,0,83.09834700422034,1,Flag
1,1,27008.84,5292599.2,5265590.36,37097.33,64106.18,0,0,0,0,0,0.0,0.0,0,82.99921509773135,1,Flag
1,1,331545.25,5265590.36,4934045.11,1543990.84,1412484.09,0,0,0,0,0,0.0,0.0,0,86.00670604196108,1,Flag
1,1,42529.28,4934045.11,4891515.83,87913.35,122750.49,0,0,0,0,0,0.0,0.0,0,82.79068504471343,1,Flag
1,1,252129.73,4891515.83,4639386.1,844104.14,420946.86,0,0,0,0,0,0.0,0.0,0,84.45309794717426,1,Flag
